"URL","HTMLMatches","URLMatches","HC","T"
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:11
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:07:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:19
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 19:06:33,2011-07-29 19:09:23
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:43,2011-07-29 19:02:00
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:03:24
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:39
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:42
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:13:37
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:12
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:13
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:08:50
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:08:34
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:18:14
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:05:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:41
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:43,2011-07-29 19:02:00
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:00:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:19
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:12
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:13:30
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:11:36
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:01:13
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:09:12
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:09:13
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:06:37
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:12:49
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:15:03
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:15:40
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:03:38
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:06:14
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:02:11
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:10:20
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:12:59
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:04:43
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:13,2011-07-29 19:04:01
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:48:43,2011-07-29 19:02:00
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:06:37
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:49:29,2011-07-29 19:16:26
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:10:51
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:17:52
"http://clerk.house.gov/evs/2011/roll677.xml",0,0,2011-07-29 18:50:49,2011-07-29 19:06:39
